schlcode,c_size,c_boys,c_girls,c_numcl,c_pik,c_status,c_leom,c_tip,c_num5rd,c_type,flgrm5,mrkgrm5,ngrm5,flmth5,mrkmth5,nmth5,towncode,popcode,tip_a,grade,classid,classize,_type_,_freq_,cohsize,mathsize,avgmath,passmath,verbsize,avgverb,passverb,studchk,misskov2,missagg,nmiss_k,nmiss_a,classct,math_n,flmath_n,nmath_n,verb_n,flverb_n,nverb_n,impute,nverb_m,nmath_m,tip_s,townid,tipuach
11005,54,24,30,9,1,2,1,5,2,2,27.27,73,55,20,73,55,26104,11,24,5,1,28,0,2,54,28,74.110001,17.9,28,70.57,35.700001,1,0,0,0,0,2,72.637276,20.01091,55,72.744728,27.256363,55,0,,,24,26104,24
11005,54,24,30,9,1,2,1,5,2,2,27.27,73,55,20,73,55,26104,11,24,5,2,26,0,2,54,27,71.110001,22.200001,27,75,18.5,1,0,0,0,0,2,72.637276,20.01091,55,72.744728,27.256363,55,0,,,24,26104,24
11006,37,21,16,12,2,2,1,7,2,2,31.43,67,35,48.57,56,35,26104,12,38,5,1,22,0,2,37,15,64,33.299999,15,75.470001,20,1,0,0,1,0,2,64,33.299999,15,75.470001,20,15,0,,,38,26104,38
11006,37,21,16,12,2,2,1,7,2,2,31.43,67,35,48.57,56,35,26104,12,38,5,2,15,0,2,37,20,50,60.022499,20,60.647499,40.002499,,1,0,1,0,2,64,33.299999,15,75.470001,20,15,1,20,20,38,26104,38
11009,32,17,15,6,1,2,1,1,1,1,40.630001,74,32,21.879999,68,32,4622,11,6,5,1,32,0,1,32,32,68.379997,21.9,32,73.970001,40.599998,1,0,0,0,0,1,68.379997,21.9,32,73.970001,40.599998,32,0,,,6,4622,6
11010,68,34,34,15,1,1,1,,2,2,32.689999,69,52,26.42,61,53,30007,11,3,5,1,34,0,2,68,22,59.860001,31.799999,22,69.550003,22.700001,1,0,0,0,0,2,61.053207,26.418867,53,68.730766,32.680771,52,0,,,3,30007,3
11010,68,34,34,15,1,1,1,,2,2,32.689999,69,52,26.42,61,53,30007,11,3,5,2,34,0,2,68,31,61.900002,22.6,30,68.129997,40,1,0,0,0,0,2,61.053207,26.418867,53,68.730766,32.680771,52,0,,,3,30007,3
11013,86,54,32,17,1,1,1,2,3,3,40.959999,69,83,38.27,62,81,30007,11,8,5,1,30,0,3,87,30,61.099998,36.700001,30,65.57,46.700001,1,0,0,0,0,3,62.358891,38.262962,81,69.472771,40.991566,83,0,,,8,30007,8
11013,86,54,32,17,1,1,1,2,3,3,40.959999,69,83,38.27,62,81,30007,11,8,5,2,26,0,3,87,24,59.419998,45.799999,24,69.919998,41.700001,1,0,0,0,0,3,62.358891,38.262962,81,69.472771,40.991566,83,0,,,8,30007,8
11013,86,54,32,17,1,1,1,2,3,3,40.959999,69,83,38.27,62,81,30007,11,8,5,3,31,0,3,87,27,66.370003,33.299999,29,73.139999,34.5,1,0,0,0,0,3,62.358891,38.262962,81,69.472771,40.991566,83,0,,,8,30007,8
